date, valuePerTh
2021-09-29,0.254
2021-09-30,0.339
2021-10-01,0.269
2021-10-02,0.36
2021-10-03,0.286
2021-10-04,0.348
2021-10-05,0.318
2021-10-06,0.286
2021-10-07,0.393
2021-10-08,0.32
2021-10-09,0.389
2021-10-10,0.359
2021-10-11,0.352
2021-10-12,0.338
2021-10-13,0.418
2021-10-14,0.324
2021-10-15,0.383
2021-10-16,0.381
2021-10-17,0.428
2021-10-18,0.37
2021-10-19,0.443
2021-10-20,0.377
2021-10-21,0.419
2021-10-22,0.411
2021-10-23,0.346
2021-10-24,0.42
2021-10-25,0.417
2021-10-26,0.358
2021-10-27,0.402
2021-10-28,0.357
2021-10-29,0.41
2021-10-30,0.371
2021-10-31,0.359
2021-11-01,0.377
2021-11-02,0.387
2021-11-03,0.365
2021-11-04,0.352
2021-11-05,0.377
2021-11-06,0.346
2021-11-07,0.371
2021-11-08,0.338
2021-11-09,0.45
2021-11-10,0.389
2021-11-11,0.381
2021-11-12,0.366
2021-11-13,0.393
2021-11-14,0.364
2021-11-15,0.356
2021-11-16,0.341
2021-11-17,0.332
2021-11-18,0.328
2021-11-19,0.304
2021-11-20,0.342
2021-11-21,0.321
2021-11-22,0.325
2021-11-23,0.306
2021-11-24,0.339
2021-11-25,0.297
2021-11-26,0.34
